loading screen drawn
mouse x:512mouse y:500
RTC subscribed!
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:512mouse y:500
mouse x:515mouse y:500
mouse x:517mouse y:500
mouse x:518mouse y:500
mouse x:528mouse y:499
mouse x:544mouse y:498
mouse x:561mouse y:497
mouse x:608mouse y:497
mouse x:608mouse y:497
mouse x:723mouse y:502
mouse x:774mouse y:502
mouse x:797mouse y:502
mouse x:846mouse y:503
mouse x:897mouse y:507
mouse x:940mouse y:518
mouse x:961mouse y:531
mouse x:984mouse y:547
mouse x:1024mouse y:588
mouse x:1024mouse y:602
mouse x:1024mouse y:612
mouse x:1024mouse y:628
mouse x:1024mouse y:642
mouse x:1024mouse y:651
mouse x:1020mouse y:657
mouse x:1014mouse y:671
mouse x:1007mouse y:686
mouse x:1004mouse y:692
mouse x:994mouse y:703
mouse x:988mouse y:708
mouse x:988mouse y:708
mouse x:984mouse y:711
mouse x:980mouse y:723
mouse x:977mouse y:733
mouse x:975mouse y:752
mouse x:973mouse y:760
mouse x:973mouse y:767
mouse x:972mouse y:767
mouse x:972mouse y:767
mouse x:972mouse y:767
mouse x:972mouse y:767
mouse x:972mouse y:766
mouse x:972mouse y:762
mouse x:972mouse y:761
mouse x:972mouse y:761
mouse x:972mouse y:761
mouse x:972mouse y:758
mouse x:971mouse y:754
mouse x:971mouse y:752
mouse x:971mouse y:751
mouse x:971mouse y:751
mouse x:971mouse y:751
mouse x:971mouse y:750
mouse x:971mouse y:747
mouse x:971mouse y:744
mouse x:971mouse y:742
mouse x:971mouse y:742
pressed game info
